point_id,cluster,outlier_score,rating,parent_asin,asin,x,y
62,-1,,4.0,B083YHS7SV,B071ZYHCM6,0.043150395,0.29833475
63,-1,,5.0,B0046EDOWW,B002MAPSC6,0.0013574921,0.01807462
64,18,0.0,5.0,B0045DT3A6,B0045DT3A6,0.3272403,-0.05594472
65,-1,,5.0,B09DSSQ52Q,B08215Z1M5,-0.24213678,0.44500542
66,-1,,3.0,B07H3PN7K3,B07H3PN7K3,0.15123597,0.10124092
67,-1,,5.0,B0733GXPYZ,B0733GXPYZ,0.14270821,0.04266315
68,-1,,2.0,B07TPLH5YK,B07TPLH5YK,0.039782036,0.13620867
69,-1,,2.0,B07FPQ343D,B07FPQ343D,0.18993536,-0.26001304
70,-1,,5.0,B00VKIY9RG,B00VKIY9RG,0.096389055,0.2544692
71,-1,,5.0,B07BJ8KD6X,B00J39BYSG,0.15515545,0.385414
72,-1,,1.0,B0061F6QUG,B0061F6QUG,-0.080608316,-0.30331555
73,-1,,5.0,B09DRXBKVG,B09DRXBKVG,-0.09828349,-0.3447977
74,-1,,5.0,B09TB71VLY,B09TB71VLY,-0.12827805,0.06319141
75,-1,,5.0,B002N3MM6W,B002N3MM6W,0.047885105,-0.11534433
76,-1,,5.0,B07KTYJ769,B01MZEEFNX,0.14084387,0.044028107
77,13,,5.0,B07PGL2N7J,B07PGL2N7J,0.27591333,0.08607432
78,-1,,5.0,B07J2GSF3S,B07J2GSF3S,-0.028196193,-0.10796344
79,-1,,3.0,B07Z9QXZMW,B07Z9QXZMW,-0.014112413,-0.07022096
80,-1,,4.0,B07Q585X37,B07Q585X37,0.107545495,0.00753469
81,-1,,4.0,B07P97SHQP,B07P97SHQP,0.108738296,0.0003264509
82,-1,,5.0,B07B3TX6MF,B07B3TX6MF,-0.10304392,-0.07105024
83,-1,,4.0,B07WPY2W4Y,B07WPY2W4Y,0.12669984,-0.048625585
84,-1,,4.0,B083Z3QCY6,B083Z3QCY6,0.23816344,-0.27938464
85,-1,,4.0,B07F71KFMQ,B07F71KFMQ,0.045930527,0.13433057
86,-1,,4.0,B07547WSQQ,B07547WSQQ,0.12914288,0.13468763
87,-1,,4.0,B07P7KG4TJ,B07P7KG4TJ,0.07501258,0.035894204
88,-1,,4.0,B01LYC6A8M,B01LYC6A8M,0.05617696,-0.13391441
89,-1,,5.0,B0B2Y5WYRG,B016498CK0,0.14839172,0.20278898
90,-1,,5.0,B08KG14KCT,B0781Z7Y3S,0.07574181,0.09235245
91,-1,,5.0,B09FF1RNDT,B0791DC3PW,0.14449117,-0.103933014
92,-1,,3.0,B00FGI4C14,B00FGI4C14,0.124264166,0.014492955
93,-1,,3.0,B07B4BF3KT,B07B4BF3KT,0.21203053,0.047766402
94,-1,,5.0,B08XBLP2V8,B07C9RSZFM,0.18055665,-0.30828094
95,-1,,5.0,B018S7DPU8,B018S7DPU8,0.16526413,-0.21438834
96,-1,,5.0,B00MYU0E0K,B00MYU0E0K,0.09251006,0.07769236
97,-1,,5.0,B000Q85WOK,B000Q85WOK,0.15320122,0.061867952
98,-1,,5.0,B01KWY71BO,B01KWY71BO,0.22296372,-0.032514185
99,-1,,4.0,B008I64LC6,B008I64LC6,0.12502316,-0.020670727
100,-1,,5.0,B079Y46M3N,B079Y46M3N,0.2721843,-0.22813226
101,-1,,3.0,B01MZ45YUU,B01MZ45YUU,0.2558403,0.03507433
102,-1,,5.0,B074V4CWFD,B074V4CWFD,0.15568957,0.10307278
103,-1,,3.0,B0083J8DFY,B0083J8DFY,0.24670675,-0.1520575
104,-1,,5.0,B09N7SXX1X,B000FKP7TY,-0.011877142,-0.12618661
105,-1,,5.0,B00X4XEBTQ,B00X4XEBTQ,0.07718557,0.32889795
106,-1,,4.0,B001CJOLBW,B001CJOLBW,0.2312178,-0.23661205
107,-1,,5.0,B0032FOKME,B0032FOKME,-0.17428148,-0.088650525
108,3,0.033385086599754366,5.0,B002WBX7TQ,B002WBX7TQ,0.052450735,-0.36411303
109,-1,,4.0,B07CB22VVJ,B000V0DY7U,0.05894815,-0.32503447
110,-1,,4.0,B0002MQGK4,B0002MQGK4,0.14214873,-0.2236833
111,-1,,4.0,B0092TGP4A,B0092TGP4A,0.11557638,-0.1562607
112,-1,,5.0,B00552PA7G,B00552PA7G,0.052282892,-0.16598944
113,-1,,5.0,B07CDCX945,B0031VXJ7G,0.08376658,-0.278529
114,-1,,4.0,B07BYZBG2X,B00008VF7L,0.2117646,-0.31243765
115,-1,,5.0,B07CBLV151,B000FI2EAG,0.11762461,0.06562393
116,-1,,3.0,B000SJ2TJ8,B000SJ2TJ8,0.1236473,-0.29996595
117,-1,,5.0,B003UT2C4U,B003UT2C4U,-0.009840835,0.020121366
118,-1,,5.0,B084JBVY4S,B084JBVY4S,0.04294633,0.21607015
119,-1,,5.0,B0075VFKI4,B0073HSJR4,0.14527711,0.18314694
120,-1,,5.0,B009RUZ7TS,B007JRB0RE,0.07696128,0.1493933
121,-1,,5.0,B071CMGRLL,B071CMGRLL,0.17143658,-0.038375065
122,-1,,3.0,B006ZZXVCI,B006ZZXVCI,-0.13126841,-0.06460624
123,-1,,5.0,B01DFKC6CQ,B01DFKC6CQ,0.09526928,0.048713855
124,-1,,5.0,B07P9W1SMH,B075L97BGR,0.10031148,0.019956369
125,-1,,5.0,B01M3ULMWP,B01J94YIT6,0.18406263,0.025351014
126,-1,,1.0,B071HXSW4Y,B071HXSW4Y,0.18853849,0.057702318
127,-1,,5.0,B0CCDMQZM7,B00M77HMU0,0.1867263,-0.104441404
128,-1,,1.0,B005HSG31K,B005HSG31K,0.0596427,0.3307369
129,-1,,3.0,B00D2J8558,B00D2J8558,0.022785112,0.3703331
130,-1,,1.0,B0BFHVDPTG,B0BFVZ8M2D,0.04292756,0.03084872
131,-1,,5.0,B08N4M55K5,B08MV99RNV,0.26147538,-0.12365608
132,-1,,5.0,B0945WPX5W,B08P4WR6XB,-0.03867104,-0.06039521
133,5,0.009642208169183417,5.0,B09K7K5J3N,B09K7K5J3N,-0.5884504,-0.08296183
134,-1,,4.0,B084ZJFNKN,B084ZJFNKN,-0.062023394,-0.13431966
135,-1,,5.0,B0B3T4JWN9,B01MTB55WH,-0.34264797,-0.03498324
136,5,0.023267351371546376,4.0,B07S5JVP78,B07S5JVP78,-0.6831509,-0.08953732
137,-1,,5.0,B0935ZDCYD,B016XTADG2,-0.3479372,-0.067421034
138,-1,,5.0,B075LX7S6B,B01MSPQ4TL,0.112746246,0.11069724
139,-1,,5.0,B001L5SN5M,B001L5SN5M,0.09545051,0.057123855
140,-1,,5.0,B000WOIFO2,B000WOIFO2,-0.23026162,0.3164848
141,-1,,5.0,B00365EB3I,B00365EB3I,-0.55139184,-0.011469863
142,-1,,4.0,B07XZ1YDKP,B07XZ1YDKP,-0.0656533,0.34183386
143,-1,,1.0,B09CD8GVY5,B09CD8GVY5,-0.055876233,-0.079221144
144,-1,,1.0,B09V28P31X,B08FFJWQY1,0.19107047,-0.30287424
145,-1,,5.0,B01D0PVYH4,B01D0PVYH4,0.16448183,0.18584768
146,-1,,5.0,B017SJKHIK,B017SJKHIK,-0.35153455,-0.13441777
147,-1,,5.0,B0BWNQZT64,B09TQXKWST,-0.17042533,-0.053843815
148,-1,,5.0,B08F9ZCTCL,B07YNLBS7R,0.15276334,-0.29810125
149,-1,,5.0,B08F9NJMW7,B08F9NJMW7,0.0061308593,0.3088241
150,-1,,5.0,B01L2VGEQE,B01L2VGEQE,-0.29257527,0.05694875
151,-1,,5.0,B0BW4PFM58,B010OYASRG,-0.20505533,-0.03200426
152,-1,,1.0,B00MNB1OD6,B00MNB1OD6,0.18248013,-0.12250596
153,-1,,5.0,B00TIRFCXQ,B00TIRFCXQ,0.24038777,0.05959919
154,-1,,4.0,B08N51H3LB,B077TZM7D5,-0.08394074,-0.24956325
155,-1,,5.0,B09KRX2QJC,B09DCR15L7,0.267669,-0.02347643
156,-1,,5.0,B09V28Y3HH,B09V28Y3HH,0.029813414,0.32634318
157,-1,,5.0,B0C5XK6534,B093D8MB4X,-0.12846413,-0.1037803
158,-1,,4.0,B0BTHV3YSV,B094X6WWVN,-0.12995893,-0.067349054
159,-1,,5.0,B0BRKGSJKH,B07TW5FVVP,0.024282178,0.12738577
160,-1,,5.0,B00JQZJ4OS,B00JQZJ4OS,0.114478074,0.27424338
161,-1,,5.0,B08BJWB991,B08B3CFNKK,0.27310637,-0.06526569
162,-1,,5.0,B09JNRLN4W,B099X2QZ5P,0.13014886,-0.37499326
163,-1,,5.0,B07HHY1MWS,B00S7IBV82,-0.046966426,0.34050795
164,-1,,4.0,B00IYM0Y2A,B00IYM0Y2A,0.16655505,0.003120672
165,-1,,5.0,B01HNL545Y,B00RK1JTR2,-0.01235266,0.43587986
166,-1,,5.0,B08RJJ97VW,B08RJ9J74X,-0.038625635,0.18281183
167,14,0.0,5.0,B01KXHYDXO,B01KXHYDXO,0.2932536,-0.006351188
168,-1,,2.0,B071KJ97ZL,B071KJ97ZL,0.18689933,0.0079606455
169,-1,,1.0,B07QWP1RYY,B00WM563IO,0.23138988,-0.013050122
170,-1,,5.0,B0772SXNSC,B0772SXNSC,0.06957366,-0.03577748
171,-1,,3.0,B08W69YRFB,B08BTZLBVT,0.25425056,0.11704481
172,7,0.2862331925766485,5.0,B073J9QWKY,B073J9QWKY,0.10894586,0.04184713
173,7,0.0,5.0,B073M1NGHJ,B073M1NGHJ,0.12954307,0.017144397
174,-1,,5.0,B0B8N1CQD1,B0B2WCTGFV,0.051711123,0.2080381
175,-1,,5.0,B085XZGVN5,B085XZGVN5,0.07788794,-0.355315
176,-1,,4.0,B09GV31691,B09GV31691,-0.135088,-0.42598554
177,-1,,4.0,B09KPLV3WD,B09F98W8LF,0.11733789,-0.021508224
178,-1,,5.0,B093YD69JB,B093YD69JB,0.108018555,0.075541764
179,-1,,5.0,B09KM3BZSS,B093DP3X4H,0.04467143,0.013598699
180,-1,,2.0,B0992TJFM3,B0992TJFM3,-0.12092934,-0.22909743
181,-1,,3.0,B07ZWCTNJH,B07ZWCTNJH,-0.28258595,0.077343844
182,-1,,5.0,B07VKFSLKN,B07VKFSLKN,-0.1914649,-0.26211408
183,-1,,5.0,B00MJ1YR8Y,B00MJ1YR8Y,-0.17465317,-0.18336624
184,-1,,4.0,B08ZZYS2P3,B08SQTMDN5,0.10195321,0.0075032953
185,-1,,5.0,B007JYZ3BG,B007JYZ3BG,-0.22288328,-0.14943403
186,-1,,1.0,B08L1N8TG9,B08L1N8TG9,0.1506044,-0.12985693
187,-1,,5.0,B07G95FFN3,B07G95FFN3,-0.020348512,-0.09972
188,-1,,5.0,B083WD2J3F,B07SS8LBYB,0.22396192,0.075782195
189,-1,,3.0,B08TTVLTWT,B08TTVLTWT,-0.03704506,0.11650808
190,-1,,5.0,B095KG3VZG,B07VWRZKR9,-0.022335164,0.080764055
191,-1,,4.0,B088DJQ2PQ,B088DJQ2PQ,0.103689596,0.09427746
192,-1,,1.0,B00UVSJU4S,B005LJQMCK,0.19228777,-0.2666222
193,-1,,5.0,B0BJ13Q5JG,B000ES842Y,0.3172757,-0.13946292
194,-1,,5.0,B07QQPH27F,B07QQPH27F,0.07973336,0.22474901
195,-1,,5.0,B00PYG7LH0,B00PYG7LH0,0.0410612,-0.11699782
196,-1,,5.0,B07S764D9V,B003EM8008,-0.43572167,-0.1461382
197,-1,,5.0,B071WRSYML,B071WRSYML,0.129776,-0.27557442
198,-1,,5.0,B00BKX75YA,B00BKX75YA,-0.2038427,0.2011388
199,-1,,4.0,B09FN58JBR,B003YVJJ5Y,0.04066867,0.3661697
200,-1,,5.0,B0032GU1LW,B0032GU1LW,0.123922095,-0.089393415
201,-1,,3.0,B0B9HR3T4B,B09R5HG53K,-0.5368491,-0.16552904
202,-1,,5.0,B07LC6VRD6,B07LC6VRD6,-0.19191259,-0.27137473
203,-1,,4.0,B01KUEGE1E,B01KUEGE1E,0.0017560273,-0.19840093
204,-1,,5.0,B08KGQHF67,B08H3KSFVR,0.09291598,-0.10929234
205,-1,,5.0,B0C9DP86HZ,B087RKKXM5,0.1774793,-0.22534618
206,-1,,5.0,B089W47DTX,B07P54RSPY,0.05407241,0.20082115
207,-1,,5.0,B00EQ94566,B00EQ94566,-0.030392878,-0.0010406896
208,-1,,5.0,B07SPFR8VB,B07SNGY9VN,0.05282405,0.3468682
209,-1,,5.0,B00KQQK87S,B00KQQK87S,0.0030391738,0.044525713
210,-1,,5.0,B07KTYJ769,B01MZEEFNX,0.0012851395,-0.3964229
211,-1,,3.0,B06X95BTH4,B06X95BTH4,0.110671364,-0.06793219
212,-1,,5.0,B005L38VRU,B005L38VRU,0.19744128,0.06077615
213,-1,,5.0,B00V3CSE4I,B007ZC99Q2,-0.39779085,-0.15901245
214,-1,,3.0,B003MVYTBU,B003MVYTBU,0.18534389,-0.19015604
215,-1,,5.0,B006R9O2PC,B006R9O2PC,0.22723982,-0.13022988
216,-1,,5.0,B00D8XNU6C,B00D8XNU6C,0.2803022,-0.220913
217,-1,,5.0,B00E0ISVLI,B003A21DQA,0.08457634,0.017055519
218,-1,,5.0,B08HC6J3H1,B08HC6J3H1,0.1479041,0.13107945
219,-1,,3.0,B07RJZPTLX,B07F7TLZF4,-0.10382331,-0.07124688
220,-1,,5.0,B09DTP4L96,B078BX25RR,0.025701618,0.33737305
221,-1,,5.0,B004M5MVNS,B004M5MVNS,-0.014028706,0.06808837
222,-1,,5.0,B008I636D6,B008I636D6,0.03004483,0.3225095
223,-1,,1.0,B072LX4LTV,B072LX4LTV,0.085211396,-0.06836735
224,1,0.0,5.0,B0068LWHPQ,B0068LWHPQ,-0.0010898188,0.25917566
225,-1,,5.0,B08JYY4FDG,B08JYY4FDG,-0.08910609,0.016935524
226,-1,,1.0,B09Q5BNT76,B07XVFB67J,-0.1972628,-0.11954477
227,-1,,5.0,B08FRLCF2W,B08DL6BGK1,0.18878174,0.05568523
228,-1,,3.0,B09Q5BNT76,B089FMHP7J,-0.21473691,-0.24851465
229,-1,,1.0,B07FP8VLXS,B014EUQOGK,0.17582297,-0.0625447
230,-1,,1.0,B09GLQ2PFV,B07YHSQ71M,0.12890005,0.33745632
231,-1,,1.0,B09KTMJVJW,B09KTMJVJW,0.19669414,-0.2244278
232,-1,,4.0,B08PNW6WGX,B08PNW6WGX,-0.31647587,0.14973828
233,-1,,5.0,B0791TX5P5,B0791TX5P5,0.1323221,-0.006100174
234,-1,,5.0,B07VYM342S,B01BMZD7C4,0.10514371,0.00052241795
235,-1,,2.0,B00IYA2SMQ,B00IYA2SMQ,-0.44287208,-0.070382364
236,-1,,5.0,B07S764D9V,B003EM8008,-0.4683901,0.25812843
237,-1,,4.0,B00B20M8CU,B00B20M8CU,-0.20793018,-0.36777702
238,-1,,5.0,B0C2PTV9ZW,B08CMQHYLL,-0.090276055,-0.04508499
239,-1,,5.0,B07X4854MR,B07X4854MR,0.1372712,-0.0045244386
240,-1,,5.0,B0BBMN8HMM,B01ARAH6O0,0.37747282,-0.28761688
241,-1,,1.0,B09CFY36RN,B0713RTF8V,0.07082239,-0.22308816
242,-1,,5.0,B08FZPS1N1,B08F3GF8B4,0.23840138,-0.1076113
243,-1,,5.0,B00L1KFWSI,B00L1KFWSI,0.24508044,-0.027533252
244,-1,,1.0,B00007AP2O,B00007AP2O,0.13866523,-0.36441454
245,-1,,5.0,B00KMFN8E8,B00KMFN8E8,0.07505496,0.056721464
246,-1,,5.0,B004WX0XP8,B004WX0XP8,0.18194786,0.063901275
247,-1,,1.0,B0BVY4JVNG,B08L5NP6NG,0.3046919,-0.2211742
248,-1,,5.0,B075X8471B,B00ZV9RDKK,0.21521732,0.034657765
249,13,0.0,5.0,B01D2WRSF2,B01D2WRSF2,0.27591342,0.08607434
250,-1,,5.0,B0C2BVCBRV,B092M34HQ3,-0.25227642,-0.32311842
251,-1,,5.0,B0BBFFXWVH,B09R1F4HCQ,0.002120912,0.120598644
252,-1,,4.0,B0997HW4JP,B0997HW4JP,0.026054382,0.21393394
253,-1,,5.0,B0B19M78LS,B09FSSM1HH,-0.017757758,0.45481554
254,-1,,5.0,B092D3LR5M,B092D3LR5M,-0.023637757,-0.06964697
255,-1,,5.0,B08SW8DMM5,B08SW8DMM5,-0.19570604,-0.2476972
256,-1,,5.0,B08K3FS8VJ,B08K3FS8VJ,-0.16326353,-0.22377269
257,-1,,5.0,B08LYQ7MBZ,B08LYQ7MBZ,-0.17918399,0.09384173
258,-1,,5.0,B08G56K774,B08G56K774,0.009639509,0.21272051
259,-1,,5.0,B089DZNCZJ,B089DZNCZJ,-0.04722602,0.2528601
260,-1,,5.0,B09Y37DKJV,B082VS96NC,-0.08500586,0.15357548
261,-1,,5.0,B08CKSDF3M,B08CKSDF3M,0.08623734,-0.28894305
262,-1,,5.0,B09CYHT3VK,B083V3F5FK,-0.0053897053,-0.020507228
263,-1,,4.0,B08735Q7LS,B08735Q7LS,-0.06792444,0.032019116
264,-1,,5.0,B08NPZ574Z,B0156LD4SM,-0.08965119,-0.024507623
265,-1,,5.0,B085M686ST,B085M686ST,-0.32997623,-0.2578472
266,-1,,4.0,B082CJ19WL,B082CJ19WL,-0.5197992,-0.06696327
267,-1,,5.0,B081STV3XJ,B07QXZHXBW,-0.28906167,-0.25763625
268,-1,,5.0,B095LLDH4H,B07TR5W3JP,0.024783734,0.0041179787
269,-1,,5.0,B07JGKCKKR,B07JGKCKKR,0.13998696,0.04489714
270,-1,,5.0,B07DTRYMQQ,B07DTRYMQQ,-0.11667811,-0.1484704
271,-1,,4.0,B0787GLJNQ,B0787QZ6WD,-0.015021324,0.15098746
272,-1,,5.0,B074QQP2T2,B074QQP2T2,-0.5150226,-0.067860775
273,-1,,4.0,B075QC3TZY,B073HM1FZ4,-0.017382346,-0.11641354
274,-1,,5.0,B0719QH4JP,B0719QH4JP,-0.018001601,0.48379335
275,-1,,5.0,B01MREKZDP,B01MREKZDP,-0.0649892,0.43590066
276,-1,,3.0,B01HCVG51M,B01HCVG51M,-0.01843039,-0.25826842
277,-1,,4.0,B012D4IEUI,B012D4IEUI,0.020309754,-0.085932896
278,-1,,1.0,B00YEX1Y1S,B00YEX1Y1S,-0.04418529,-0.06666297
279,-1,,5.0,B01MQGLIKL,B006U1VH2S,-0.24933487,-0.1773506
280,-1,,4.0,B000LY1UMC,B000LY1UMC,0.08673861,0.12516607
281,2,0.0,5.0,B004WMSV76,B004RLLM5A,0.084451884,0.18518983
282,-1,,5.0,B005J7Y98I,B005J7Y98I,-0.10149247,0.23737141
283,-1,,5.0,B00KTCN43E,B00KTCN43E,-0.089039706,-0.10400948
284,-1,,4.0,B019CB11IM,B00KZM53NC,0.052883044,0.029165253
285,-1,,5.0,B00BTVSUNI,B00BTVSUNI,0.097692035,-0.08792659
286,-1,,4.0,B00WHEUS22,B00IEZGU6G,0.09135481,0.057800546
287,-1,,5.0,B003XNSBXY,B003XNSBXY,-0.111189686,-0.10770152
288,-1,,4.0,B00ENY0ZLS,B00ENY0ZLS,-0.19801754,-0.31503204
289,-1,,4.0,B00IHVNMYK,B00EZ9XGE4,-0.076553755,0.40609607
290,1,0.0,3.0,B00GXXJF72,B00DR8LA6U,-0.050835617,0.10162637
291,-1,,5.0,B00DLKE8C2,B00DLKE8C2,-0.07902577,-0.023734499
292,-1,,5.0,B00C27S0M4,B00C27S0M4,-0.35323963,-0.14188117
293,2,0.001820545436554566,3.0,B00ARDJ5BU,B00AQDG99M,-0.06864559,0.1640085
294,-1,,4.0,B008HK3U6Q,B008HK3U6Q,-0.0905075,0.4564732
295,-1,,4.0,B007Q8GOGI,B007Q8GOGI,0.026666287,0.24035403
296,-1,,4.0,B009WZRCO6,B009WZRCO6,-0.024609223,0.45144472
297,5,0.025273623024720648,4.0,B0046W5EQI,B0046W5EQI,-0.49375087,0.06541293
298,-1,,3.0,B008ULPDIK,B008ULPE70,-0.04776527,0.31946746
299,-1,,5.0,B008GFRBBW,B008GFRBBW,-0.0528742,0.09645496
300,2,0.0,4.0,B00QU5CR6E,B0095F5AFQ,-0.084430136,0.1240921
301,-1,,2.0,B00XIUKJDW,B005EWB3XW,-0.12274075,0.0034218319
302,-1,,5.0,B008DF53W4,B008DF53W4,-0.21717507,-0.12613058
303,2,0.0,4.0,B00A4QXIRM,B006TR0FCQ,-0.017098092,0.20877323
304,-1,,5.0,B007GFX798,B007GFX798,-0.28549588,0.019137535
305,-1,,5.0,B003VAGXZC,B003VAGXZC,-0.16376498,0.108261794
306,-1,,4.0,B005OB1TU0,B005OB1TU0,-0.23283517,-0.24117011
307,-1,,3.0,B004TPJKEY,B004TPJKEY,-0.26816908,-0.21653011
308,-1,,4.0,B005K69PLE,B005K69PLE,-0.20625895,-0.24121368
309,-1,,4.0,B005NHR6MU,B005NHR6MU,0.13248846,0.24468109
310,-1,,2.0,B004DNWCZ6,B0035JJJR8,-0.20941567,-0.11015235
311,-1,,5.0,B0058GAOO8,B0051GN9NS,-0.08650874,0.49089423
312,-1,,5.0,B0020HRE1Y,B001XURPQS,0.028676517,0.114154905
313,-1,,5.0,B00305GHAE,B000P9ZBFA,-0.032217063,0.13876355
314,-1,,5.0,B00XI3MMMA,B003XU78OU,0.025126452,0.08557261
315,-1,,4.0,B0035JJJPK,B0035JJJPK,-0.3660631,0.013066359
316,-1,,4.0,B00BWH2SWI,B0036AWR8E,0.040006682,0.38462678
317,-1,,4.0,B0032AN4N0,B0032AN4N0,0.08637048,-0.15565965
318,2,0.016125620191408403,5.0,B001Q9F0BS,B001Q3M8IM,0.050206188,-0.029201351
319,-1,,5.0,B002GP7ZT6,B002GP7ZT6,0.00033605844,-0.19933105
320,-1,,5.0,B002CWZ29S,B002CWZ29S,-0.03561368,0.2190017
321,-1,,5.0,B001VFUN82,B001VFUN82,0.01558524,0.0807927
322,-1,,5.0,B0023B14TK,B0023B14TK,0.061082307,-0.078574404
323,-1,,4.0,B001DQRBSY,B001DQRBSY,0.014646899,0.14877099
324,-1,,5.0,B000V2MK00,B000V2MK00,-0.07651765,0.027098209
325,-1,,4.0,B000WOGA6C,B000WOGA6C,-0.122662224,0.44166136
326,-1,,5.0,B00KSBB7EY,B00KSBB7EY,0.10371043,-0.10770853
327,-1,,5.0,B00INZSFUG,B00INZSFUG,0.023234459,0.036578536
328,-1,,5.0,B078G91T8X,B071RWJ39R,-0.23936394,-0.09911099
329,-1,,5.0,B01M2BIW94,B01M2BIW94,0.024853546,0.50848186
