cluster,cluster_size,rating,parent_asin,asin,outlier_score,text_len,title,text
3,547,5.0,B0044YU60M,B0044YU60M,0.0,390,For the money - a great buy,"I also was a little nervous about buying this unit because it was so cheap compared to some of the other wireless routers out there. I have to say - it is a great little product. IT was super easy to install - has it up and running in about 5 minutes. We haven't has any problems with it and we use it for our TV, Phones, and computers in the house.<br /><br />I am pretty impressed so far."
3,547,3.0,B0C26NRH8Z,B06WVCB862,0.0316576095680651,1221,Mixed results - not working with Verizon Netwrok Extender due to firewall,"Having very mixed results with this M5. IN order to get around the firewall, which is NOT configurable or can be disabled, you have to do port forwarding. I have no cell coverage where I live in VT, so I rely on the Verizon Network extender 100% for coverage. I can't get it to work around the firewall consistently. I got it working for about 4 days and then all of a sudden, nothing. TP Link customer service is weak now and I couldn't understand the rep from China unfortunately - they say call Verizon, Verizon says call your ISP and router mfg. My wifi calling is also not working, meaning I have no cell service at all now. I am going to do yet another total reboot of the M5, and if that doesn't work, then hook up my 10 year old Netgear router again, as everything worked before and see if it works again. I find the M5 Deco app to be not that great, things that should be possible, aren't and there's hardly any tech support and documentation for the M5 on their site for doing advanced things like port forwarding. Service is mostly good, but it drops our TV off the network sometimes for no reason. TP Link needs to up their game in that regard on tech support. I may be sending this system back, not sure yet."
3,547,1.0,B0BJGKZKV9,B07DY16W2Z,0.0,505,Try to use immediately and check for problems in return date window,"And don't trust. Modem not good as promised. I trying use my SB8200 in more than one month after buy, and unfortunately modem not good. Every evening drops speed to 6Mbit download or just lost internet connection. This is not acceptable, because i'm use security cameras via current internet connection. I'm returned to use old SBG6700 and no more problems. Download speed less for 1% only, but upload speed better(!) for 20% and less ping! My return date window closed. New modem listed for sale on Ebay."
3,547,5.0,B09VYMTDF9,B01D6JEMXC,0.0329312582651369,398,Strong and reliable,"Extender has been running reliably since installation 2 weeks ago. Provides great coverage, so multiple devices on different platforms are all now running smoothly. Setup was straightforward. Very affordable. Highly recommended, especially if the pandemic has exposed all the weaknesses in your WiFi and you all just need one easy thing to go right! Let there be peace! And uninterrupted streaming."
3,547,4.0,B084BXS6NL,B0711TPWZY,0.0,1807,Excellent WI-FI coverage; setup can be tricky; support may be questionable,"For performance, I would rate this a solid 5-stars.  I bought a quality $300 router before this one and it just wouldn't fully cover the house with adequate wi-fi strength.  I spent $100 more on an extender, which finally helped somewhat, but still not ideal.  The router in this D-Link system has good strong wi-fi signal by itself, but it includes an extender which make it even better.  Excellent wi-fi coverage and also works good for wired connections as well.  For the price, the D-Link router is well worth the money.  So why not 5 stars in my rating?  The setup instructions turned out to be useless for me, but may have been because my internet was coming in through a router/modem combo; multiple routers on a network can cause issues and change how you might access a given router to set it up.  Support is important, especially when you are trying to set up for the first time, but I tried to call and there was a 25 minute wait, so decided to e-mail instead.  That was several days ago and the e-mail has not been answered yet, so I am disappointed in support, so that's one reason I knocked one star off my rating.  I strongly recommend you download the manual from their website, as the unit doesn't come with it.  The manual seems to be well written and comprehensive.  It still didn't help me with setup; I had to figure that out on my own.  If you have a straight-forward setup that is not complicated, you may not have any issues with setting up this unit.  Since this and most routers I have seen only have connections for 4 wired items, I am running an &#34;extension&#34; switch for more network devices and computer.  I could not get it to work at first, until a network expert told me that you have to reboot the router after you connect the switch, in order for it to be recognized."
9,466,5.0,B00BFRKYVM,B00BFRKYVM,0.0039946765375284,13,Great product,Great product
9,466,5.0,B074392SK5,B074392SK5,0.0346288304037274,13,make a easy install,great product
9,466,5.0,B0B636J9N2,B072152BWQ,0.0,13,Great Product,Great Product
9,466,5.0,B01G8JO5F2,B01G8JO5F2,0.0,13,great product,Great Product
9,466,5.0,B00FIXW24Q,B008TNXEWG,0.0,13,Fast delivery,Great product
9,466,5.0,B08HLH2G15,B07M7CG1LW,0.0,13,Great product,Great product
1,376,3.0,B0787GLJNQ,B0787K1MLT,0.0,1993,Does Not Retain DPI Setting Reliably; Slightly Smaller Than Average,"I selected this mouse to be a spare for when I am on the go. Amazon-branded things are often of good quality so I was hopeful for this mouse. I came away a bit disappointed due to a couple of issues I have had with it.<br /><br />This is a basic wireless mouse, suitable for surfing the web, working on documents or similar tasks. It’s not particularly good for gaming as it is not designed for such. If the goal is to have something that will allow you to casually use the computer for basic tasks, this one will serve. If you need a heavy-duty mouse for frequent use or you need a gaming mouse, spend a little more and get a more solid mouse.<br /><br />One of the issues I have with mice is that I have huge hands and finding a mouse that fits my hand properly is a challenge. This is a smaller than average mouse, so it really doesn’t work for me. That’s not a big deal; it was designed for the large majority of people with smaller hands, so I can’t criticize this mouse for its size. It’s in that weird in-between size - smaller than the average desktop mouse but larger than a travel mouse.<br /><br />The real issue I have seen with this mouse, though, is with the DPI setting. After idling for a little while, the mouse has a very nasty and predictable habit of resetting the DPI mode automatically. This is the only mouse I have used that has exhibited the problem. This impacts me when I am doing photo editing or using a graphics program and I need fine control. Sure, I can hit the DPI setting and get it to where I need it to be easily enough, but I should not have to do this over and over, particularly when I need the same setting all the time.<br /><br />Other than the DPI setting, this mouse works exactly as expected. It is a decent mouse if you do not need predictable DPI settings. If you need a mouse that retains your settings, or if you need a larger mouse, or if you need a heavy-duty device, this is not the right choice for you. It’s fine for travel or casual use."
1,376,5.0,B082M94GY9,B0836GXKKB,0.0,58,Rechargeable and comfortable,This mouse works well and is easy to use. Very responsive.
1,376,5.0,B003NR57BY,B003NR57BY,0.0,48,Good mouse for the money,This mouse works well and I like the feel of it.
1,376,5.0,B002HWRJBM,B002HWRJBM,0.0166659814849456,77,Five Stars,I am a business analyst who works from home and this mouse really kicks butt!
1,376,5.0,B003NR57BY,B003NR57BY,0.0,136,Very Comfortable and Quick Response Mouse,Great Mouse.  Wheel works great!  Easy to use as it is larger and comfortable in the hand.  Going to buy another one for my home office!
1,376,2.0,B07QLQPX1S,B07QLQPX1S,0.0014400571505851,294,Not comfortable enough for carpal tunnel,I have carpal tunnel and with this mouse I can still feel a lot of pain and pressure because I had to struggle to keep my hand from slipping down into the scroll button. It feels like the angle is too vertical for my hand to sit comfortably without effort. Also it does not come with batteries.
2,375,5.0,B000203PBY,B000203PBY,0.0182467019038909,1746,"A Camera that for once, has a name that fits it. Easy.","For a long time I've had a little baby normal camera. Finally, I bought myself a digital camera to see what all the fuss was. And now I know.This is a great camera.<br /><br />Pros:<br /><br />> Amazing memory. I took over 400 pictures and still had room for more.<br /><br />> Has an LCD screen, which really helps out night to see what you're taking pictures of.<br /><br />> An incredible (almost overwhelming) selection of styles to take pictures. You have night pics, normal, manual, portait, camera...I could go on for ever.<br /><br />> Disturbingly good zoom. You can zoom as far as to see the color of someone's eyes at at least 100yds. away. The zoom on this camera is scary good.<br /><br />> For camera mode, the videos created are surprisingly clear with good sound. This is a great camera to double as a camcorder.<br /><br />> Normally this camera takes excellent pictures, but, there are...<br /><br />Cons:<br /><br />> A wee bit bulky. Easy to hold in one's hand, but difficult to shove in a camera bag.<br /><br />> The time lapse from the moment you press down on the picture button and the time the camera takes the shot is a little bit too long for my liking.<br /><br />> Sometimes, the camera has a really difficult time to focus on stuff.<br /><br />> While on camcorder mode, you cannot zoom in or out of a shot.<br /><br />> If you're taking a picture into the sun, the picture comes out a little bit funky looking.<br /><br />I'm being a little bit negative. I should stay on the positive. This is an amazing, stunning camera, worth every penny. I love it, and won't be buying a new digital anytime soon because I am really happy with this one. A must-have for any tourist on a trip or photography loving dork like me."
2,375,5.0,B006C1ILUC,B00HAF120K,0.003497716015261,320,"Great lens for the money, and fun to use","This is a great lens for the money; it's pretty solid. Note that it's quite huge. The focus ring is quite to my liking; a little stiff, but only a little.<br /><br />I'm still getting used to it, and so far I haven't gotten any pictures that I consider truly awesome.  Make sure you tell your camera IS the focal length!"
2,375,4.0,B09W8R65TX,B01MSJ9TRF,0.0174010291092311,1012,Impressive lens that is a bot difficult to focus well at first,"Toss out everything and start from scratch with this lens.  First, on an Olympus OM-D EM-1 camera, the distance markings are worthless.  Ignore them and use the screen to focus.  Be absolutely certain to use electronic magnification while adjusting the focus, or you are going to miss more than hit.  I find working in Manual Mode with Manual Focus is the best.  An aperture around f/ 8 is my preference for bright subjects, but I have worked all the way down to wide open and gotten good shots.  If you develop a mental checklist and go through it /every time/, you can get great results with this lens.<br /><br />For my EM-1 and all other micro-4/3 cameras, the top and bottom of the circle are cut off some.  I estimate that I still get over 80% of the circle area in my photo, and I am very happy with it.<br /><br />Some subjects that seem to work well with this lens include landscapes, wind farms, museum falleries and cars.<br /><br />Example photos are from The Early Ford V-8 Museum in Auburn, IN USA."
2,375,5.0,B087G4G7QJ,B087G4G7QJ,0.0,667,no grain/noise photos,"I own the viltrox 33mm and fujifilm 16-80, and 50-140 & 1.4tc<br /><br />The viltrox 33 is my favorite so far for crazy high resolution  basically no grain photos. Turn on mf red focus peaking with focus preview. Processed with capture one express. You can't quite get the macro like shots you want... maybe with the extender tube.  Really this and the no OIS is the only complaints about the lens. Build quality is excellent.  Be sure to update the firmware of the lens.  For the price you would be crazy not to get it.<br /><br />The 16-80 is the most versatile with ois<br />the 50-140 needs a lot of light, basically outdoors only or with flash & costs a fortune."
2,375,3.0,B075K89NTR,B075K89NTR,0.0,1312,Disappointing. Difficult to record video 24/7. App stinks.,"I used a NestCam for about 4 years and found it to be phenomenal.  My naughty parrot attacked the NestCam one too  many times and finally did it in.<br /><br />I decided to save $$ by purchasing this camer. It seemed like a fabulous deal at around $50 and the cost of a micro SD card (instead of paid cloud service).<br /><br />IMO this camera is good for LIVE VIEWING and recording SPECIFIC scenes. However, it's not good for continuous 24/7 recording.<br /><br />The PROS:<br />1) Nice-looking camera; looks like a robot  :-)<br />2) Pan & Tilt capability<br />3) Easy to set up<br />4) Good price<br />5) Quality of video is decent<br />6) Responsive customer service<br />7) Good for &#34;live&#34; viewing<br /><br />The CONS:<br />1) Horrible instructions<br />2) Difficult to set up continuous 24/7 recording (customer service helped me with this via e-mail)<br />3) Horrendous app aesthetically and performance-wise<br />4) Accessing recorded videos is tough since it records in &#34;segments&#34; of 2-15 minutes.  You need to click on each segment individually to play that section of video. Does not have thumbnails for scrolling to activity on videos.<br /><br />Perhaps I was spoiled by NestCam's app?  This camera's hardware is good but the software and supporting documents need major improvement."
2,375,5.0,B08CHFY4R5,B08CHFY4R5,0.010993637414963,362,So Many Possibilities!,"This is a wonderful tripod!  It is sturdy and with all it's possible adjustments, extremely versatile.  It collapses to a relatively small package to carry, it has enough height to be really useful and at full extension there is still more height to be achieved with the crank that elevates the camera.  It is so worth the small extra price for it's versatility."
12,370,5.0,B07PMXN6JH,B07PMXN6JH,0.0,9,Excelente,Excelente
12,370,5.0,B08X2FMKGZ,B001V5LCC8,0.0569643188811562,19,Perfectos,Muy buena inversion
12,370,5.0,B0BDM76GVM,B09J86D71C,0.0629432297877364,15,Muchas excelente,Me agrado mucho
12,370,5.0,B09Y8MSPPH,B082XTK8KF,0.0,23,Air pods case,Es hermoso y resistente
12,370,5.0,B08Y8TZQ87,B08KXMHCSQ,0.0,20,Resistente,Super cómodo para mi
12,370,5.0,B081SPK36Z,B081SPK36Z,0.0598313443818188,6,Durabilidad,Buenos
4,347,5.0,B019ZSZZPW,B019ZSZZPW,0.0,3329,Loads of storage options; generally good build quality,"Bottom line: I’m pretty pleased with this laptop bag. There are ample (and I mean ample!) pockets and places to store items, but the design is such that it’s easy to keep things organized and get at what you need without a struggle. The internal padding does a great job of keeping laptops and tablets secure, and the build quality is mostly top-notch with just a few misses.<br /><br />Full review: While I tend to dislike the term “tactical” when it comes to commonplace items such as bags, the design of this bag more than makes up for the choice of name.  It’s styled in a way to mimic military gear, but it does so in a manner that doesn’t interfere with actual use.<br /><br />The fabric is very thick and sturdy. This is a bag that can easily deal with getting bumped around without any risk of a fabric tear. The main zippers are also very nicely done. While the teeth are not metal, they are big and beefy, and have a smooth action.  However, the smaller zippers, especially the one on an outside pocket, are not all that good. The teeth are small, and it can be a struggle to get them to open and close.<br /><br />The top has a great feature: a lid that zips to keep it closed. As someone who has tilted my share of laptop bags and seen the contents hit the floor, the top lid is a wonderful feature. The top lid can also be closed with Velcro if you don’t want to deal with the zipper and/or want quicker access.<br /><br />Lifting the lid leads to the main compartment, which is divided into two main areas by a full-length fixed divider. The divider and the outer walls are padded with a good amount of firm foam. One of the compartments has a half-height divider to hold things such as file folders separate from the laptop (or tablet). There’s a security strap that’s held in place by very sturdy Velcro to keep the laptop in place. The main compartment is about 14 inches wide and 12 inches deep (measurements were done by hand and are approximate).<br /><br />The outside front of the case has four pockets. The two small ones have Velcro closures; the medium size one has a zipper; the large one has both Velcro and a quick-release buckle system. Aside from the poor zipper, all the pockets work well to hold a lot of items. The various sizes are handy to keep things organized.<br /><br />The front also has a zipper so that it can be completely folded down, and allows access to slit pockets to hold papers and other thin materials.<br /><br />The bag can be carried by an attached shoulder strap or a hand strap. I found both options to be very comfortable even when the bag was loaded down.<br /><br />Misses are mostly minor. As noted previously, the pocket zipper is of so-so quality, and the pull tabs (which are strings) on all the zippers could be better in terms of comfort and utility. The bottom of the bag does not have any nubs or feet to keep it away from the ground when you set it down. Lastly, while it’s a plus to have buckles and straps for creating a custom fit, this has so many that they sometimes get in the way.<br /><br />Those misses aside, this remains one of the better-built bags I’ve tried at this price point. While the misses brings my rating to 4.5 stars, I’ll round up to 5 since the looks, utility and comfort are outstanding for the price.<br />[Sample provided for review]"
4,347,5.0,B089QXQLJW,B089QXQLJW,0.0,707,"Versatile, Elegant Backpack","This is a terrific backpack that is equally suitable to be used as a school bag as it is to be used as a professional briefcase. The shoulder straps fold into a compartment on the back of the bag, and there are handles both on the top and on the side. The bag has a zipper around the body that allows it to expand to a comfortably sized overnight bag. The inner compartment has a laptop sleeve as well as elastic straps to secure clothing.<br /><br />The versatility of this bag makes it a perfect gift. It is suitable as an everyday bag and is also a perfect travel size. It is very durably constructed with an elegant appearance. This is a high quality product that will provide you with years of service."
4,347,4.0,B07MC49G6X,B07MC49G6X,0.0,750,Mpell leather satchel bag is nicely finished showing a classic leather satchel look,"Mpell leather bag is made from Goat leather meaning this bag is supple and not overly stiff and bulky. I like that while it has buckles and straps there are quick snaps that allow quick and easy access to the bag. The shoulder strap is plenty long and has a  buckle for adjusting to any preference. The finish is an oil based finish that gives a nice natural appearance and a soft supple feel.<br />The inside is large enough for a 13"" laptop or large tablet along with your charger and any papers you may want to bring along. The interior is divided into three compartments for organizing your documents and such. There are two small pockets on the exterior and one larger zippered compartment on the back that would hold something like a 9"" tablet."
4,347,5.0,B0C3VQDFNW,B07TF3YGGW,0.0,681,Pleased w/ Purchase,"This laptop backpack is advertised for men, however, as a small female, I'm quite happy with my new bag!  I just got it packed up for my upcoming extended travel stint, and there's so much room in it(!), as well as exceptional organizational options in it (love that)!!  My former laptop/carry-on bag, though decently sized, was cram packed.  In my new bag, I'll be able to add so many extra things still, if needed.  Yay!  I read many reviews on lots of laptop backpacks when shopping online, and with the look of this one, it was an easy pick for me.  Now, here's to hoping it will hold up well, but it seems to be of good quality so far.  I'm really glad to have found this one!"
4,347,4.0,B00J3IREFO,B00IKDLMZ6,0.0211834263660109,724,A nice bag,"This is an good bag for your laptop or tablet.  The section of the bag designed to hold those items has a decent amount of padding. There's another full sized compartment in front of the laptop/tablet section.  Smaller zippered sections also appear on each side of the bag, the bottom of the bag, the upper backside of the bag, and the front of the bag.<br /><br />The two smallest compartments have a material that I can only describe as very Kermit the Frog green -- it's very green and kind of felt'y.<br /><br />The straps are all easy to use (slider style and no straps hang down all over the place).<br /><br />The handle could be a bit bigger (personal preference).<br /><br />Overall it's a good bag / well made bag."
4,347,5.0,B07R89SNZP,B07P6X79HP,0.0183569468983763,522,Well made,"Well made backpack for your laptop or whatever you chose to use it for. The Osprey Aphelia women's laptop backpack is a streamlined pack with functional features. The front panel organization pocket keeps all your small items handy while the large main compartment has plenty of room for all your essentials. Inside the main compartment is a padded laptop sleeve that fits a 15"" laptop along with a separate padded zippered tablet sleeve. This bag also features discrete side access dual stretch mesh water bottle pockets."
10,337,5.0,B00005T3EV,B00005T3EV,0.0,12,Five Stars,Good product
10,337,5.0,B015GBIN4M,B003M6FDS8,0.999997977457305,13,Good cable,Good product.
10,337,5.0,B01G8JO5F2,B01G8JO5F2,0.999998085565878,17,Excellent product,Excellent product
10,337,5.0,B07W8S5BRV,B07W8S5BRV,0.0,12,Good price,Good product
10,337,5.0,B00MWK6TGK,B00LOV6QKW,0.0,12,Five Stars,good product
10,337,5.0,B09V5RPBTL,B01M715BCV,0.0,12,Fan,Good product
14,324,5.0,B077NXRLRS,B077NXRLRS,0.9999996453397252,8,Brought 11 year old Dell back to life :),Perfect!
14,324,5.0,B00SKFKTQC,B00SKFKTQC,0.7385114018811543,7,Five Stars,Perfect
14,324,5.0,B07C4DXHPM,B07C4DXHPM,0.0,7,Great product,Perfect
14,324,5.0,B01N1K0KZF,B07XSNS1X6,0.0,7,Buy this,Perfect
14,324,5.0,B01J5RHBQ4,B01J5RHBQ4,0.9999996453397212,8,Five Stars,Perfect!
14,324,5.0,B01AWLQ1AY,B01AWLQ1AY,0.9999996453396982,8,Great DAC,Perfect!
7,320,5.0,B01A1HL9V0,B01A1HL9V0,0.38786515586742,16,Five Stars,just as expected
7,320,4.0,B0BB1BJXJL,B01NASKH70,0.3905221885057148,18,Four Stars,Just as described!
7,320,5.0,B0BG3BVSJY,B01M0FXMFK,0.3980785352549852,20,Great,Just what I expected
7,320,5.0,B00CGISI9E,B0007KPY54,0.3156574915165632,25,Five Stars,As expected and described
7,320,5.0,B0BGS23YKX,B076FPGWNZ,0.0,12,As described,As described
7,320,5.0,B00ESM3JUY,B00ESM3JUY,0.0,12,As described,As described
6,268,5.0,B01GN00OO2,B01GN00OO2,0.0422246633756101,17,Perfecty length,Wonderful quality
6,268,5.0,B07XYSV4KJ,B07V3MG815,0.0,13,Perfect,Great quality
6,268,5.0,B09V6JXVX1,B00EIBEQD4,0.0981640450419631,18,Five Stars,Very good quality!
6,268,5.0,B0C77PHRML,B00RWO0DZ4,0.1249691711028617,17,Buy it again,Very nice quality
6,268,5.0,B07KR3VMKX,B07KR3VMKX,0.231850185388457,15,Great,Great quality !
6,268,5.0,B0006437YG,B0006437YG,0.0,12,good quality,good quality
15,259,5.0,B0088NUP7E,B0088NUP7E,0.0,2,Five Stars,ok
15,259,5.0,B0C1VDVS93,B01GR9MMBW,0.0,2,Ok,Ok
15,259,3.0,B071R715MZ,B072HRDM55,0.0,2,Ok,Ok
15,259,3.0,B081GL1CMV,B081GL1CMV,0.0,2,Ok,Ok
15,259,3.0,B076LJDRFW,B076LJDRFW,0.0,2,Ok,Ok
15,259,5.0,B07DDN6RKK,B07DDN6RKK,0.0,2,Thanks,Ok
11,242,5.0,B0B2K6JSBR,B078HSKBG3,9.094095734755649e-08,10,Works well,Works well
11,242,5.0,B0BFM2GP2B,B0148NNKTC,1.941975517907848e-07,11,Five Stars,Works well.
11,242,4.0,B0BDJ2L28L,B0009PTBZ6,0.0,11,Four Stars,Works well.
11,242,5.0,B072WK1PVK,B072WK1PVK,0.0,10,Easily connected,Works well
11,242,5.0,B00KHAH3JO,B00KHAH3JO,0.0,10,Five Stars,Works well
11,242,5.0,B0067HW0BM,B00009UTNI,0.0,11,Good quality,Works well.
17,231,5.0,B0819PCPBV,B078MBX55Q,0.0,11,Awesome Product,Works great
17,231,5.0,B00DB8NSG6,B00DB8NSG6,0.0,11,Five stars,Works great
17,231,5.0,B07N7SH725,B010BZ8VX6,0.0,11,Like it,Works great
17,231,5.0,B07LF85BKP,B07LF85BKP,0.0,11,Grwat,Works great
17,231,5.0,B0BCGK83LY,B0007UQNKY,0.0,11,Five Stars,works great
17,231,5.0,B0BGCDYQQY,B07H48412Q,0.0,11,needed this for my new camcorder,works great
8,223,4.0,B00DTEGGJS,B00DTEGGJS,0.0,14,Four Stars,As advertised.
8,223,5.0,B07C8G8S5D,B07C8G8S5D,0.0,13,As advertised,As advertised
8,223,5.0,B00E60DMVE,B00E60DMVE,0.0,14,Five Stars,As advertised!
8,223,5.0,B09RCQFWWV,B00C7RXR72,0.0,13,As advertised,As advertised
8,223,5.0,B01IQD9OKO,B01IQD9OKO,0.0,14,Five Stars,As advertised.
8,223,5.0,B074FTRZ8H,B0784LMD7J,0.0,13,Nice product,as advertised
21,219,5.0,B0BYYJPGQB,B000FNFSPY,0.0,4,Five Stars,GOOD
21,219,5.0,B07FCGB2H8,B07FCGB2H8,0.0,4,Loved,Good
21,219,5.0,B013SCY6IS,B013SCY6IS,0.0,4,Five Stars,good
21,219,5.0,B0B7DQTZ7D,B00JJEUL5W,0.0,4,Five Stars,GOOD
21,219,5.0,B00O5CBUZI,B00O5CBUZI,0.0,4,Five Stars,Good
21,219,4.0,B09L5H8BXJ,B00CHHTOII,0.0,4,Four Stars,good
18,215,5.0,B074MLJQVM,B074MLJQVM,0.0,7,Happy,Awesome
18,215,5.0,B088CQZCQP,B088CQZCQP,0.0,5,Nice,Nice!
18,215,5.0,B00E389WCM,B00DY3JAJM,0.0,6,Five Stars,great!
18,215,5.0,B0086T9H7E,B0086T9H7E,0.0,7,Five Stars,Awesome
18,215,5.0,B06Y41XM9Z,B06Y41XM9Z,0.0,7,Five Stars,awesome
18,215,5.0,B08JCXWFRZ,B08JCXWFRZ,0.0,6,Good purchase,Great!
16,210,5.0,B00IVPU786,B00IVPU786,0.0,11,Five Stars,works great
16,210,5.0,B003R0AXPW,B003R0AXPW,0.0,11,Five Stars,works great
16,210,5.0,B009SK59BS,B009SK59BS,0.0,11,Does the job it was intended for,Works great
16,210,5.0,B00XJNY83A,B00FRU5UNA,0.0,11,Very easy to install,Works great
16,210,5.0,B003CKC8W8,B003CKC8W8,0.0,11,Five Stars,Works great
16,210,4.0,B07FFKML1F,B07FFKML1F,0.0,11,Great,Works great
0,209,5.0,B09JC4RSGG,B01A6F3WHG,0.0,167,Anker = high quality,"Love these cables. I have recently started using several Anker products, and I am very impressed with their product quality. This appears to be a very well-made cable."
0,209,5.0,B08FYNN55Z,B08FYNN55Z,0.0,426,Good charging cables,"I've had a lot of problems with other cables getting hot, breaking easily, not charging quickly or at all... these have been really good, so far. They charge quickly, have held up in my travel bag and I like that they are longer than other cables - some hotel rooms have limited charging ports and outlets, making it difficult to keep the phone within reach. These cables make that less of a problem. Pleased with my purchase."
0,209,5.0,B018IAXUAA,B018IAXUAA,0.0,11,Good value,Good cables
0,209,5.0,B0711S7MJW,B00YOP0T7G,0.0,115,"Well Made, Great Buy","Great cable. Well made, very flexible yet doesn't feel flimsy.<br />If I need more, I'll certainly buy these again."
0,209,5.0,B0041OTYM6,B0041OTYM6,0.0,220,Great!,Love the quality from this cable and Mediabridge.  Everything I've purchased from them has been top notch 'monster' quality.<br />I will never buy that overpriced Monster or any other brand in the big box Best Buy store.
0,209,5.0,B09JC9MJHW,B09JC9MJHW,0.0,61,Great Cables,Cables are great and work just as they should. No complaints.
20,207,4.0,B01N6H4EQK,B01N6H4EQK,0.0,4,Good,Good
20,207,5.0,B075X8471B,B00ZV9RDKK,0.0,4,Good,Good
20,207,5.0,B0BBMN8HMM,B01ARAH6O0,0.0,4,Good,Good
20,207,5.0,B08CKZ36N7,B01N6JQS8C,0.0,4,Five Stars,GOOD
20,207,5.0,B011BRUOMO,B010Q57T02,0.0,4,good,Good
